Variant,RadialStiffness,LateralStiffness,TangentialStiffness,TorsionalStiffness,CorneringStiffness,SelfAligningTorque
IP 1.25 + BA 1.1 + CS 0 + EPI 0 + Mat 1.1,827.00,752.00,1280.00,147.00,99.00,77.00
IP 1.25 + BA 1.1 + CS 0 + EPI 0.9 + Mat 0,832.00,772.00,1299.00,145.00,118.00,71.00
IP 1.25 + BA 1.1 + CS 0 + EPI 0.9 + Mat 0.9,839.00,772.00,1292.00,136.00,114.00,72.00
IP 1.25 + BA 1.1 + CS 0 + EPI 0.9 + Mat 1.1,834.00,760.00,1300.00,153.00,91.00,73.00
IP 1.25 + BA 1.1 + CS 0 + EPI 1.1 + Mat 0,827.00,770.00,1292.00,131.00,108.00,79.00
IP 1.25 + BA 1.1 + CS 0 + EPI 1.1 + Mat 0.9,821.00,757.00,1286.00,136.00,110.00,85.00
IP 1.25 + BA 1.1 + CS 0 + EPI 1.1 + Mat 1.1,821.00,752.00,1300.00,158.00,120.00,77.00
IP 1.25 + BA 1.1 + CS 0.9 + EPI 0 + Mat 0,835.00,761.00,1299.00,134.00,101.00,77.00
IP 1.25 + BA 1.1 + CS 0.9 + EPI 0 + Mat 0.9,837.00,777.00,1288.00,140.00,109.00,81.00
IP 1.25 + BA 1.1 + CS 0.9 + EPI 0 + Mat 1.1,836.00,762.00,1284.00,152.00,97.00,73.00
IP 1.25 + BA 1.1 + CS 0.9 + EPI 0.9 + Mat 0,820.00,779.00,1299.00,136.00,100.00,85.00
IP 1.25 + BA 1.1 + CS 0.9 + EPI 0.9 + Mat 0.9,820.00,760.00,1282.00,155.00,114.00,79.00
IP 1.25 + BA 1.1 + CS 0.9 + EPI 0.9 + Mat 1.1,820.00,763.00,1288.00,152.00,116.00,85.00
IP 1.25 + BA 1.1 + CS 0.9 + EPI 1.1 + Mat 0,840.00,769.00,1296.00,152.00,120.00,85.00
IP 1.25 + BA 1.1 + CS 0.9 + EPI 1.1 + Mat 0.9,825.00,774.00,1282.00,138.00,97.00,75.00
IP 1.25 + BA 1.1 + CS 0.9 + EPI 1.1 + Mat 1.1,836.00,768.00,1282.00,139.00,116.00,70.00
IP 1.25 + BA 1.1 + CS 1.1 + EPI 0 + Mat 0,832.00,764.00,1281.00,130.00,107.00,72.00
IP 1.25 + BA 1.1 + CS 1.1 + EPI 0 + Mat 0.9,839.00,768.00,1295.00,159.00,108.00,72.00
IP 1.25 + BA 1.1 + CS 1.1 + EPI 0 + Mat 1.1,830.00,776.00,1293.00,157.00,116.00,77.00
IP 1.25 + BA 1.1 + CS 1.1 + EPI 0.9 + Mat 0,839.00,765.00,1289.00,142.00,86.00,74.00
IP 1.25 + BA 1.1 + CS 1.1 + EPI 0.9 + Mat 0.9,820.00,763.00,1295.00,154.00,105.00,80.00
IP 1.25 + BA 1.1 + CS 1.1 + EPI 0.9 + Mat 1.1,820.00,772.00,1289.00,136.00,103.00,75.00
IP 1.25 + BA 1.1 + CS 1.1 + EPI 1.1 + Mat 0,828.00,766.00,1290.00,144.00,113.00,74.00
IP 1.25 + BA 1.1 + CS 1.1 + EPI 1.1 + Mat 0.9,838.00,771.00,1293.00,131.00,97.00,79.00
IP 1.25 + BA 1.1 + CS 1.1 + EPI 1.1 + Mat 1.1,833.00,774.00,1288.00,154.00,85.00,83.00
