Variant,RadialStiffness,LateralStiffness,TangentialStiffness,TorsionalStiffness,CorneringStiffness,SelfAligningTorque
IP 0 + BA 0.9 + CS 1.1 + EPI 1.1 + Mat 0,837.91,817.24,1284.74,142.90,105.74,70.72
IP 0 + BA 0.9 + CS 1.1 + EPI 1.1 + Mat 0.9,826.84,782.00,1282.71,134.73,98.77,65.74
IP 0 + BA 0.9 + CS 1.1 + EPI 1.1 + Mat 1.1,840.23,833.98,1285.15,151.02,111.98,75.38
IP 0 + BA 1.1 + CS 0 + EPI 0 + Mat 0,831.12,769.62,1284.75,142.04,104.51,77.32
IP 0 + BA 1.1 + CS 0 + EPI 0 + Mat 0.9,828.50,765.29,1283.71,133.35,97.67,71.97
IP 0 + BA 1.1 + CS 0 + EPI 0 + Mat 1.1,833.19,778.23,1285.13,150.11,110.90,82.53
IP 0 + BA 1.1 + CS 0 + EPI 0.9 + Mat 0,829.88,771.79,1284.75,141.76,104.24,77.30
IP 0 + BA 1.1 + CS 0 + EPI 0.9 + Mat 0.9,827.40,767.47,1283.70,133.08,97.41,71.97
IP 0 + BA 1.1 + CS 0 + EPI 0.9 + Mat 1.1,832.09,780.08,1285.12,149.78,110.59,82.56
IP 0 + BA 1.1 + CS 0 + EPI 1.1 + Mat 0,831.95,769.95,1284.75,142.26,104.74,77.33
IP 0 + BA 1.1 + CS 0 + EPI 1.1 + Mat 0.9,829.46,767.23,1283.72,133.57,97.89,71.97
IP 0 + BA 1.1 + CS 0 + EPI 1.1 + Mat 1.1,834.17,772.64,1285.13,150.38,111.15,82.52
IP 0 + BA 1.1 + CS 0.9 + EPI 0 + Mat 0,829.96,771.79,1284.75,141.76,104.24,77.30
IP 0 + BA 1.1 + CS 0.9 + EPI 0 + Mat 0.9,827.41,767.47,1283.70,133.08,97.41,71.97
IP 0 + BA 1.1 + CS 0.9 + EPI 0 + Mat 1.1,832.07,773.80,1285.12,149.78,110.59,82.56
IP 0 + BA 1.1 + CS 0.9 + EPI 0.9 + Mat 0,828.78,769.98,1284.75,141.45,103.94,77.29
IP 0 + BA 1.1 + CS 0.9 + EPI 0.9 + Mat 0.9,826.17,767.65,1283.68,132.77,97.15,71.96
IP 0 + BA 1.1 + CS 0.9 + EPI 0.9 + Mat 1.1,830.84,771.66,1285.12,149.41,110.24,82.57
IP 0 + BA 1.1 + CS 0.9 + EPI 1.1 + Mat 0,830.98,769.63,1284.75,142.02,104.49,77.32
IP 0 + BA 1.1 + CS 0.9 + EPI 1.1 + Mat 0.9,828.36,765.31,1283.71,133.32,97.65,71.97
IP 0 + BA 1.1 + CS 0.9 + EPI 1.1 + Mat 1.1,833.19,770.48,1285.13,150.08,110.87,82.54
IP 0 + BA 1.1 + CS 1.1 + EPI 0 + Mat 0,831.95,769.51,1284.75,142.26,104.74,77.33
IP 0 + BA 1.1 + CS 1.1 + EPI 0 + Mat 0.9,829.46,765.14,1283.72,133.57,97.89,71.97
IP 0 + BA 1.1 + CS 1.1 + EPI 0 + Mat 1.1,834.17,770.35,1285.13,150.38,111.15,82.52
IP 0 + BA 1.1 + CS 1.1 + EPI 0.9 + Mat 0,830.98,769.63,1284.75,142.02,104.49,77.32
IP 0 + BA 1.1 + CS 1.1 + EPI 0.9 + Mat 0.9,828.36,765.31,1283.71,133.32,97.65,71.97
IP 0 + BA 1.1 + CS 1.1 + EPI 0.9 + Mat 1.1,833.19,770.48,1285.13,150.08,110.87,82.54
IP 0 + BA 1.1 + CS 1.1 + EPI 1.1 + Mat 0,832.92,768.96,1284.76,142.48,104.94,77.33
IP 0 + BA 1.1 + CS 1.1 + EPI 1.1 + Mat 0.9,830.29,765.15,1283.73,133.79,98.09,71.96
IP 0 + BA 1.1 + CS 1.1 + EPI 1.1 + Mat 1.1,835.00,770.24,1285.12,150.62,111.39,82.52
IP 0.75 + BA 0 + CS 0 + EPI 0 + Mat 0,840.00,753.00,1295.00,136.00,84.00,84.00
IP 0.75 + BA 0 + CS 0 + EPI 0 + Mat 0.9,835.00,774.00,1285.00,132.00,89.00,74.00
IP 0.75 + BA 0 + CS 0 + EPI 0 + Mat 1.1,824.00,763.00,1292.00,146.00,80.00,85.00
IP 0.75 + BA 0 + CS 0 + EPI 0.9 + Mat 0,822.00,751.00,1290.00,130.00,88.00,85.00
IP 0.75 + BA 0 + CS 0 + EPI 0.9 + Mat 0.9,840.00,779.00,1294.00,134.00,100.00,85.00
IP 0.75 + BA 0 + CS 0 + EPI 0.9 + Mat 1.1,840.00,778.00,1294.00,151.00,91.00,76.00
IP 0.75 + BA 0 + CS 0 + EPI 1.1 + Mat 0,839.00,759.00,1299.00,147.00,86.00,70.00
IP 0.75 + BA 0 + CS 0 + EPI 1.1 + Mat 0.9,827.00,779.00,1287.00,145.00,89.00,80.00
IP 0.75 + BA 0 + CS 0 + EPI 1.1 + Mat 1.1,821.00,766.00,1299.00,156.00,120.00,79.00
IP 0.75 + BA 0 + CS 0.9 + EPI 0 + Mat 0,839.00,774.00,1291.00,149.00,80.00,77.00
IP 0.75 + BA 0 + CS 0.9 + EPI 0 + Mat 0.9,837.00,772.00,1300.00,149.00,80.00,85.00
IP 0.75 + BA 0 + CS 0.9 + EPI 0 + Mat 1.1,822.00,754.00,1285.00,143.00,106.00,71.00
IP 0.75 + BA 0 + CS 0.9 + EPI 0.9 + Mat 0,824.00,777.00,1294.00,160.00,117.00,85.00
IP 0.75 + BA 0 + CS 0.9 + EPI 0.9 + Mat 0.9,832.00,775.00,1294.00,139.00,89.00,74.00
IP 0.75 + BA 0 + CS 0.9 + EPI 0.9 + Mat 1.1,825.00,767.00,1291.00,151.00,108.00,75.00
IP 0.75 + BA 0 + CS 0.9 + EPI 1.1 + Mat 0,832.00,758.00,1297.00,147.00,94.00,77.00
IP 0.75 + BA 0 + CS 0.9 + EPI 1.1 + Mat 0.9,834.00,755.00,1293.00,160.00,112.00,71.00
IP 0.75 + BA 0 + CS 0.9 + EPI 1.1 + Mat 1.1,824.00,755.00,1290.00,144.00,92.00,76.00
IP 0.75 + BA 0 + CS 1.1 + EPI 0 + Mat 0,830.00,754.00,1281.00,140.00,117.00,79.00
IP 0.75 + BA 0 + CS 1.1 + EPI 0 + Mat 0.9,835.00,772.00,1294.00,148.00,98.00,84.00
IP 0.75 + BA 0 + CS 1.1 + EPI 0 + Mat 1.1,836.00,751.00,1290.00,132.00,80.00,75.00
IP 0.75 + BA 0 + CS 1.1 + EPI 0.9 + Mat 0,836.00,772.00,1294.00,149.00,96.00,83.00
IP 0.75 + BA 0 + CS 1.1 + EPI 0.9 + Mat 0.9,832.00,774.00,1300.00,131.00,113.00,70.00
IP 0.75 + BA 0 + CS 1.1 + EPI 0.9 + Mat 1.1,832.00,760.00,1283.00,132.00,90.00,82.00
IP 0.75 + BA 0 + CS 1.1 + EPI 1.1 + Mat 0,822.00,763.00,1291.00,147.00,94.00,81.00
IP 0.75 + BA 0 + CS 1.1 + EPI 1.1 + Mat 0.9,839.00,777.00,1289.00,135.00,101.00,78.00
IP 0.75 + BA 0 + CS 1.1 + EPI 1.1 + Mat 1.1,824.00,771.00,1297.00,130.00,97.00,75.00
IP 0.75 + BA 0.9 + CS 0 + EPI 0 + Mat 0,831.00,767.00,1296.00,149.00,89.00,72.00
IP 0.75 + BA 0.9 + CS 0 + EPI 0 + Mat 0.9,830.00,774.00,1289.00,136.00,93.00,74.00
IP 0.75 + BA 0.9 + CS 0 + EPI 0 + Mat 1.1,836.00,759.00,1285.00,151.00,100.00,80.00
IP 0.75 + BA 0.9 + CS 0 + EPI 0.9 + Mat 0,839.00,767.00,1287.00,140.00,111.00,79.00
IP 0.75 + BA 0.9 + CS 0 + EPI 0.9 + Mat 0.9,829.00,767.00,1294.00,144.00,88.00,71.00
IP 0.75 + BA 0.9 + CS 0 + EPI 0.9 + Mat 1.1,828.00,751.00,1283.00,132.00,95.00,85.00
IP 0.75 + BA 0.9 + CS 0 + EPI 1.1 + Mat 0,836.00,768.00,1288.00,141.00,108.00,79.00
IP 0.75 + BA 0.9 + CS 0 + EPI 1.1 + Mat 0.9,838.00,779.00,1283.00,134.00,81.00,72.00
IP 0.75 + BA 0.9 + CS 0 + EPI 1.1 + Mat 1.1,836.00,770.00,1287.00,148.00,119.00,81.00
IP 0.75 + BA 0.9 + CS 0.9 + EPI 0 + Mat 0,828.00,775.00,1282.00,153.00,114.00,74.00
IP 0.75 + BA 0.9 + CS 0.9 + EPI 0 + Mat 0.9,821.00,770.00,1300.00,141.00,87.00,71.00
IP 0.75 + BA 0.9 + CS 0.9 + EPI 0 + Mat 1.1,821.00,776.00,1291.00,147.00,98.00,79.00
IP 0.75 + BA 0.9 + CS 0.9 + EPI 0.9 + Mat 0,825.00,767.00,1298.00,138.00,106.00,72.00
IP 0.75 + BA 0.9 + CS 0.9 + EPI 0.9 + Mat 0.9,832.00,752.00,1294.00,160.00,107.00,79.00
